ORDER_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,ORDER_DATE,CUSTOMER_ORDER_NO,DELIVERY_INSTRUCTIONS,ORDER_STATUS
"""6146530""","""1568639""","""A-000132127""",01/02/2018,"""1710-D46Y-S""",""" ""","""Completed"""
"""6146533""","""1568444""","""A-000131934""",01/02/2018,"""1710-WFWQ-S""",""" ""","""Completed"""
"""6146534""","""1569425""","""A-000134176""",01/02/2018,"""1710-QHZ8-S""",""" ""","""Completed"""
"""6146535""","""1570237""","""A-000139428""",01/02/2018,"""1711-J9LD-S""",""" ""","""Completed"""
"""6146537""","""1571578""","""A-000141604""",01/02/2018,"""1711-SZK8-S""",""" ""","""Completed"""
"""6146539""","""1571873""","""A-000147226""",01/02/2018,"""1711-3BCA-S""",""" ""","""Completed"""
"""6146540""","""1569252""","""A-000133269""",01/02/2018,"""1712-SJ3N-S""",""" ""","""Completed"""
"""6146541""","""1572342""","""A-000147800""",01/02/2018,"""1712-D37B-S""",""" ""","""Completed"""
"""6146542""","""1573191""","""A-000148057""",01/02/2018,"""1712-ZPP8-S""",""" ""","""Completed"""
"""6146545""","""1573540""","""A-000148155""",01/02/2018,"""1712-WYX3-S""",""" ""","""Completed"""
"""6146546""","""1573548""","""A-000148160""",01/02/2018,"""1712-NC8D-S""",""" ""","""Completed"""
"""6146547""","""1574687""","""A-000149447""",01/02/2018,"""1801-XU5V-S""",""" ""","""Completed"""
"""6146548""","""1574750""","""A-000149656""",01/02/2018,"""1801-L2G2-S""",""" ""","""Completed"""
"""6146549""","""1574847""","""A-000149675""",01/02/2018,"""1801-ZCVS-S""",""" ""","""Completed"""
"""6146550""","""1573658""","""A-000148522""",01/02/2018,"""1801-SJ2C-S""",""" ""","""Completed"""
"""6159350""","""1575648""","""A-000149817""",15/02/2018,"""""",""" ""","""Completed/Cancelled"""
"""6159411""","""1575651""","""A-000149820""",15/02/2018,"""1802-7S6F-O""","""Leave under cover ""","""Completed/Cancelled"""
"""6088850""","""1571723""","""A-000144332""",26/11/2017,"""""",""" ""","""Completed"""
"""6088851""","""1571725""","""A-000144334""",26/11/2017,"""""",""" ""","""Completed/Cancelled"""
"""6156879""","""1575547""","""A-000149780""",11/02/2018,"""""",""" ""","""Completed"""
"""6147416""","""1569320""","""A-000133875""",02/02/2018,"""1710-GNXY-S""",""" ""","""Completed"""
"""6126937""","""1574315""","""A-000148546""",08/01/2018,"""""",""" ""","""Completed"""
"""6126938""","""1574311""","""A-000148545""",07/01/2018,"""""",""" ""","""Completed"""
"""6126939""","""1574311""","""A-000148545""",07/01/2018,"""""",""" ""","""Completed"""
"""6126941""","""1574012""","""A-000148543""",06/01/2018,"""""",""" ""","""Completed/Cancelled"""
"""6135312""","""1569276""","""A-000133540""",18/01/2018,"""1801-NYSJ-O""","""Leave by the front door ""","""Completed"""
"""6075456""","""1570723""","""A-000140812""",16/11/2017,"""""",""" ""","""Completed"""
"""6061716""","""1569136""","""A-000133071""",03/11/2017,"""1711-2WTB-O""","""Leave by the front door ""","""Completed"""
"""6120088""","""1573540""","""A-000148155""",29/12/2017,"""""",""" ""","""Completed"""
"""6120089""","""1573544""","""A-000148158""",29/12/2017,"""""",""" ""","""Completed"""
"""6107944""","""1568629""","""A-000132118""",14/12/2017,"""1712-VTS5-O""","""Leave under carport ""","""Completed/Cancelled"""
"""6045195""","""1569224""","""A-000133261""",17/10/2017,"""1710-7L2B-O""","""Leave under carport near slidi ng door""","""Completed"""
"""6123341""","""1573638""","""A-000148517""",03/01/2018,"""""",""" ""","""Completed"""
"""6123343""","""1573639""","""A-000148518""",03/01/2018,"""""",""" ""","""Completed"""
"""6148252""","""1574899""","""A-000149696""",03/02/2018,"""""",""" ""","""Completed"""
"""6148259""","""1574901""","""A-000149698""",03/02/2018,"""""",""" ""","""Completed"""
"""6148261""","""1574900""","""A-000149697""",03/02/2018,"""""",""" ""","""Completed"""
"""6097350""","""1568793""","""A-000137287""",06/12/2017,"""1712-EL2Y-O""",""" ""","""Cancelled"""
"""6047509""","""1569297""","""A-000133864""",19/10/2017,"""""",""" ""","""Completed"""
